dataset,problem_id,seed,phase,iteration,rank,old_fit,new_fit,fit_match,old_solution_digest,new_solution_digest,solution_match
WEING,weing2,101,iteration_end,7,17,99625,99625,True,1e4ce6964006f2ad,1e4ce6964006f2ad,True
WEING,weing2,101,iteration_end,7,18,98238,98238,True,34c35020075b39f1,34c35020075b39f1,True
WEING,weing2,101,iteration_end,7,19,83665,83665,True,5ce8ab7e324f61a1,5ce8ab7e324f61a1,True
WEING,weing2,101,iteration_end,8,0,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,8,1,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,8,2,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,8,3,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,8,4,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,8,5,129723,129723,True,10e12e79fe203645,10e12e79fe203645,True
WEING,weing2,101,iteration_end,8,6,129288,129288,True,d1797b7dfa78b5b1,d1797b7dfa78b5b1,True
WEING,weing2,101,iteration_end,8,7,129188,129188,True,bc0355b3e862e2ea,bc0355b3e862e2ea,True
WEING,weing2,101,iteration_end,8,8,126698,126698,True,9018568cd6b26bdc,9018568cd6b26bdc,True
WEING,weing2,101,iteration_end,8,9,122174,122174,True,5b84d155c874ba4c,5b84d155c874ba4c,True
WEING,weing2,101,iteration_end,8,10,118675,118675,True,f51e02105e52a12b,f51e02105e52a12b,True
WEING,weing2,101,iteration_end,8,11,117240,117240,True,c005bbff39ad615d,c005bbff39ad615d,True
WEING,weing2,101,iteration_end,8,12,112360,112360,True,6c663683f4a343d3,6c663683f4a343d3,True
WEING,weing2,101,iteration_end,8,13,112250,112250,True,8aac85deb85deda5,8aac85deb85deda5,True
